Khóa Học (Gốc),Mục Lục (Gộp Folder con),Tên Bài,ID File,Loại File
N3 Dũng Mori 2024,Tài liệu chung,3. Lộ trình học N3 trong 180 ngày.pdf,1dhgs4eXbmy3uqWQj-j1Nl1K8Ktgu_VnW,application/pdf
N3 Dũng Mori 2024,Tài liệu chung,2. Lộ trình học N3 trong 100 ngày.pdf,1qR_kCAxGwp7cVUWdArNhe9Ti-DUKSuex,application/pdf
N3 Dũng Mori 2024,File sách,Bản sao của 880 TỪ VỰNG MIMIKARA N3 ( Bản dịch ).pdf,1SzOkCw9v_Gr2oktzcgeP81qW4MJrFjH4,application/pdf
N3 Dũng Mori 2024,File sách,Bản sao của 150 CTNP THÔNG DỤNG N3-N2.pdf,1hMXpYuWC8oRCXmtBv4eTzCElrI372pk2,application/pdf
N3 Dũng Mori 2024,Chặng 3 > 1. Luyện đề > Đọc chữ hán,Bản sao của Bản sao của Bản sao của Đề 14.docx,1-DqThvgKmJ9tUnzb3nMHfBae0NGmDlBx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
N3 Dũng Mori 2024,Chặng 3 > 1. Luyện đề > Đọc chữ hán,Bản sao của Bản sao của Bản sao của Đề 1.docx,1FyeLhmUzD8iKUeLlbJOiqs3UFNlC8Qfl,application/vnd.openxmlformats-officedocument.wordprocessingml.document
N3 Dũng Mori 2024,Chặng 3 > 1. Luyện đề > Đọc chữ hán,Bản sao của Bản sao của Bản sao của Đề 6.docx,1HGImgku9DeHsR1AnLEDSyPouEXc89W4E,application/vnd.openxmlformats-officedocument.wordprocessingml.document
N3 Dũng Mori 2024,Chặng 3 > 1. Luyện đề > Đọc chữ hán,Bản sao của Bản sao của Bản sao của Đề 3.docx,1JG0R9FnuiUi0EZWsxRTRZOGmPjgx8sJR,application/vnd.openxmlformats-officedocument.wordprocessingml.document
N3 Dũng Mori 2024,Chặng 3 > 1. Luyện đề > Đọc chữ hán,Bản sao của Bản sao của Bản sao của Đề 10.docx,1NdmG2m9vssQweuDaoWLT-dv7J7GyX_LH,application/vnd.openxmlformats-officedocument.wordprocessingml.document
N3 Dũng Mori 2024,Chặng 3 > 1. Luyện đề > Đọc chữ hán,Bản sao của Bản sao của Bản sao của Đề 19.docx,1Prl_Om5Y62ujixWTAvkq1uDieGCNO7IM,application/vnd.openxmlformats-officedocument.wordprocessingml.document
N3 Dũng Mori 2024,Chặng 3 > 1. Luyện đề > Đọc chữ hán,Bản sao của Bản sao của Bản sao của Đề 5.docx,1SZDx_AufscDkD4kgrcZ7NOW61YtVkCCs,application/vnd.openxmlformats-officedocument.wordprocessingml.document
N3 Dũng Mori 2024,Chặng 3 > 1. Luyện đề > Đọc chữ hán,Bản sao của Bản sao của Bản sao của Đề 13.docx,1XgfiMEIpXjmauTv4JEKoer_b2vL0Dbjz,application/vnd.openxmlformats-officedocument.wordprocessingml.document
